,time,volume,mid_o,mid_h,mid_l,mid_c,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
0,2021-05-02 21:00:00+00:00,70,0.77236,0.77252,0.77134,0.77178,0.77196,0.7722,0.77059,0.7714,0.77275,0.77318,0.77209,0.77215
1,2021-05-02 22:00:00+00:00,188,0.77171,0.77186,0.77131,0.77164,0.77141,0.77178,0.77123,0.77157,0.77201,0.77204,0.77139,0.77172
2,2021-05-02 23:00:00+00:00,146,0.77161,0.77205,0.77151,0.77201,0.77154,0.77199,0.77145,0.77195,0.77168,0.77211,0.77157,0.77207
3,2021-05-03 00:00:00+00:00,355,0.77204,0.77327,0.77132,0.77317,0.77198,0.7732,0.77126,0.7731,0.77211,0.77334,0.77139,0.77324
4,2021-05-03 01:00:00+00:00,341,0.77314,0.77328,0.77208,0.77222,0.77307,0.77322,0.77201,0.77215,0.7732,0.77334,0.77214,0.77229
5,2021-05-03 02:00:00+00:00,352,0.77225,0.7723,0.77144,0.77157,0.77219,0.77224,0.77137,0.77151,0.77231,0.77238,0.77149,0.77163
6,2021-05-03 03:00:00+00:00,269,0.77154,0.77246,0.77154,0.77246,0.77147,0.77239,0.77147,0.77239,0.7716,0.77253,0.7716,0.77252
7,2021-05-03 04:00:00+00:00,161,0.77249,0.7725,0.77175,0.7719,0.77243,0.77243,0.77169,0.77184,0.77255,0.77256,0.77181,0.77197
8,2021-05-03 05:00:00+00:00,201,0.77188,0.77191,0.77106,0.77131,0.77181,0.77184,0.77099,0.77125,0.77194,0.77198,0.77112,0.77137
9,2021-05-03 06:00:00+00:00,516,0.77128,0.77236,0.77062,0.77222,0.77121,0.7723,0.77057,0.77215,0.77134,0.77243,0.77068,0.77228
10,2021-05-03 07:00:00+00:00,726,0.77218,0.77317,0.77218,0.77232,0.77211,0.7731,0.77211,0.77226,0.77225,0.77324,0.77224,0.77239
11,2021-05-03 08:00:00+00:00,470,0.77236,0.77283,0.77184,0.7726,0.77228,0.77276,0.77177,0.77254,0.77244,0.7729,0.77191,0.77265
12,2021-05-03 09:00:00+00:00,420,0.77256,0.77276,0.7718,0.77237,0.77249,0.77269,0.77173,0.7723,0.77263,0.77283,0.77187,0.77244
13,2021-05-03 10:00:00+00:00,381,0.7724,0.77374,0.77214,0.77363,0.77234,0.77368,0.77207,0.77356,0.77247,0.77381,0.77221,0.7737
14,2021-05-03 11:00:00+00:00,441,0.77366,0.7737,0.773,0.77337,0.7736,0.77363,0.77294,0.77331,0.77373,0.77377,0.77307,0.77343
15,2021-05-03 12:00:00+00:00,567,0.7734,0.77448,0.77305,0.77305,0.77334,0.77441,0.77299,0.77299,0.77346,0.77454,0.77311,0.77311
16,2021-05-03 13:00:00+00:00,626,0.77308,0.77444,0.77305,0.77408,0.77302,0.77438,0.77299,0.77401,0.77315,0.77451,0.77311,0.77415
17,2021-05-03 14:00:00+00:00,992,0.77411,0.77622,0.77411,0.77608,0.774,0.77616,0.774,0.77602,0.77422,0.77629,0.77422,0.77615
18,2021-05-03 15:00:00+00:00,606,0.77606,0.77652,0.77541,0.77576,0.776,0.77646,0.77535,0.77569,0.77611,0.77658,0.77547,0.77582
19,2021-05-03 16:00:00+00:00,253,0.77572,0.77586,0.77498,0.77575,0.77566,0.77581,0.77491,0.77569,0.77578,0.77591,0.77505,0.77581
20,2021-05-03 17:00:00+00:00,200,0.77579,0.77655,0.7757,0.77602,0.77573,0.77649,0.77564,0.77596,0.77585,0.77661,0.77577,0.77608
21,2021-05-03 18:00:00+00:00,146,0.77606,0.77668,0.77598,0.77668,0.776,0.77662,0.77592,0.77662,0.77611,0.77674,0.77605,0.77674
22,2021-05-03 19:00:00+00:00,158,0.77664,0.77664,0.77598,0.77621,0.77658,0.77658,0.77593,0.77614,0.77671,0.77671,0.77604,0.77628
23,2021-05-03 20:00:00+00:00,114,0.77618,0.77646,0.77594,0.77622,0.77613,0.77638,0.77581,0.77592,0.77623,0.77658,0.77601,0.77651
24,2021-05-03 21:00:00+00:00,59,0.77609,0.77647,0.77594,0.7762,0.77557,0.77628,0.77538,0.77594,0.77661,0.77682,0.77613,0.77645
25,2021-05-03 22:00:00+00:00,190,0.77632,0.7764,0.77588,0.77588,0.77615,0.7763,0.77581,0.77581,0.7765,0.77657,0.77595,0.77595
26,2021-05-03 23:00:00+00:00,126,0.77592,0.77606,0.7757,0.77584,0.77585,0.77599,0.77564,0.77579,0.77599,0.77612,0.77577,0.7759
27,2021-05-04 00:00:00+00:00,326,0.77588,0.77611,0.77476,0.77545,0.77582,0.77604,0.7747,0.77539,0.77594,0.77618,0.77482,0.77551
28,2021-05-04 01:00:00+00:00,400,0.77542,0.77546,0.7742,0.77422,0.77536,0.77539,0.77414,0.77415,0.77547,0.77552,0.77427,0.77428
29,2021-05-04 02:00:00+00:00,270,0.77418,0.77448,0.77354,0.7739,0.77411,0.77442,0.77347,0.77383,0.77426,0.77455,0.7736,0.77398
30,2021-05-04 03:00:00+00:00,217,0.77388,0.77425,0.77354,0.77413,0.77381,0.77419,0.77347,0.77406,0.77394,0.77431,0.7736,0.7742
31,2021-05-04 04:00:00+00:00,528,0.77418,0.7755,0.77394,0.77442,0.77412,0.77543,0.77387,0.77436,0.77425,0.77558,0.77401,0.77449
32,2021-05-04 05:00:00+00:00,284,0.77446,0.77469,0.77346,0.77407,0.7744,0.77462,0.77339,0.774,0.77452,0.77476,0.77353,0.77414
